#transaccion,fecha,Código Producto,Cantidad,Precio unitario
535,2018-11-01,33,642,982
536,2017-05-10,701,17,452
537,2018-11-07,139,160,474
538,2018-11-09,414,906,840
539,2018-10-17,337,338,428
540,2017-07-17,316,946,859
541,2017-01-15,680,728,868
542,2017-01-13,137,339,506
543,2018-12-21,616,205,911
544,2018-09-29,761,339,38
545,2017-02-18,631,887,13
546,2017-05-26,783,496,780
547,2019-10-11,885,391,851
548,2017-02-21,411,858,729
549,2017-09-06,510,653,176
550,2019-09-18,891,312,960
551,2017-11-22,198,363,625
552,2018-12-17,943,682,3
553,2019-02-03,1,298,567
554,2017-01-17,715,761,984
555,2018-11-12,458,394,216
556,2019-01-10,65,474,65
557,2019-05-15,925,164,424
558,2017-07-30,441,66,46
559,2017-06-05,269,546,724
560,2018-06-14,552,904,967
561,2017-01-04,239,193,864
562,2019-02-16,544,205,50
563,2017-04-19,561,148,534
564,2017-10-25,866,888,485
565,2018-01-20,669,951,709
566,2017-05-31,540,182,512
567,2019-08-01,545,22,740
568,2017-04-26,533,669,91
569,2019-09-16,657,800,171
570,2019-12-16,664,571,665
571,2018-11-04,50,109,8
572,2019-03-18,909,22,923
573,2019-07-18,724,899,894
574,2018-10-24,33,735,941
575,2019-05-25,701,562,672
576,2017-03-19,568,430,348
577,2017-09-25,754,618,738
578,2018-05-06,166,904,906
579,2018-02-04,827,709,597
580,2017-08-16,606,843,520
581,2019-05-01,941,661,705
582,2017-06-11,225,819,969
583,2018-11-18,987,252,274
584,2018-01-05,933,114,111
585,2019-10-17,262,158,611
586,2017-08-22,793,955,816
587,2017-11-17,928,734,933
588,2018-03-09,845,903,598
589,2018-04-22,444,926,340
590,2017-03-04,732,249,978
591,2018-03-25,226,891,529
592,2019-10-06,690,777,761
593,2019-01-27,286,19,709
594,2019-07-15,755,527,212
595,2017-12-25,474,192,409
596,2017-05-28,646,235,777
597,2019-06-01,294,111,31
598,2017-05-15,16,897,502
599,2019-10-20,913,250,316
600,2018-05-01,607,610,784
601,2019-05-04,443,884,428
602,2019-11-29,751,498,907
603,2018-05-27,550,593,899
604,2017-09-20,916,670,215
605,2017-11-18,111,393,474
606,2017-05-22,56,872,305
607,2017-10-11,515,65,310
608,2019-01-07,523,878,849
609,2019-01-29,294,775,370
610,2019-12-13,381,444,615
611,2019-05-01,416,629,270
612,2019-06-28,981,372,591
613,2019-05-15,512,544,561
614,2017-09-25,765,431,495
615,2018-12-28,601,785,112
616,2017-12-06,285,65,145
617,2017-03-20,668,488,512
618,2017-10-04,435,650,289
619,2018-11-24,758,769,454
620,2017-04-14,152,665,371
621,2017-06-01,246,134,249
622,2019-04-15,245,412,760
623,2017-06-30,290,419,467
624,2019-02-16,661,408,866
625,2019-12-02,886,135,682
626,2017-12-06,64,66,398
627,2018-12-10,786,69,832
628,2018-11-04,255,346,427
629,2017-03-07,802,38,288
630,2017-11-26,145,261,907
631,2017-06-10,38,179,962
632,2019-02-13,123,997,132
633,2017-01-14,123,441,294
634,2017-04-23,978,722,141
635,2017-10-29,67,771,486
636,2017-11-07,119,870,224
637,2019-11-13,805,930,311
638,2018-03-13,725,490,46
639,2017-10-06,443,353,103
640,2018-03-31,558,502,863
641,2018-06-27,328,175,962
642,2018-12-14,306,30,6
643,2018-10-05,526,920,710
644,2018-01-12,749,410,825
645,2018-11-22,916,91,375
646,2017-09-01,420,434,594
647,2018-04-30,624,313,172
648,2019-08-23,855,816,674
649,2019-05-15,727,77,703
650,2019-12-11,242,107,908
651,2017-10-08,379,81,832
652,2019-09-30,45,643,911
653,2017-08-11,272,488,210
654,2019-11-15,508,569,995
655,2017-08-08,473,97,821
656,2018-07-22,638,990,42
657,2019-02-01,123,898,707
658,2019-07-30,202,294,894
659,2019-08-10,254,808,34
660,2019-10-13,590,157,683
661,2017-09-02,579,509,389
662,2019-01-28,448,180,535
663,2018-02-19,530,491,340
664,2017-05-02,704,179,909
665,2019-12-26,100,572,338
666,2018-08-05,206,945,447
667,2017-12-17,319,219,666
668,2019-01-29,301,301,542
669,2019-01-24,807,720,675
670,2018-12-28,757,992,959
671,2017-07-15,788,901,393
672,2017-12-23,884,216,83
673,2018-10-08,308,438,665
674,2018-02-12,396,405,912
675,2018-12-17,603,344,316
676,2018-03-13,486,34,746
677,2017-10-23,778,971,859
678,2018-03-16,24,161,413
679,2017-02-12,876,713,21
680,2019-04-20,722,328,240
681,2018-01-06,398,897,38
682,2019-01-25,547,187,459
683,2017-03-27,323,512,891
684,2017-04-12,22,816,128
685,2019-08-28,744,362,428
686,2019-05-07,438,309,292
687,2019-05-17,937,417,215
688,2019-04-04,743,24,630
689,2017-12-02,127,317,604
690,2018-03-19,730,896,42
691,2017-07-05,738,842,884
692,2019-07-08,658,243,312
693,2019-07-11,639,179,900
694,2017-01-02,51,632,775
695,2019-07-17,924,911,817
696,2017-03-17,21,269,335
697,2017-06-14,337,320,675
698,2019-03-04,438,479,337
699,2019-05-06,967,538,818
700,2017-08-16,456,745,309
701,2017-05-16,351,839,67
702,2019-03-21,702,377,886
703,2018-10-25,971,116,571
704,2017-05-17,23,155,383
705,2018-05-01,900,343,597
706,2018-02-17,348,663,247
707,2017-01-18,480,688,213
708,2017-12-04,551,678,711
709,2017-09-19,768,550,22
710,2017-01-04,807,537,986
711,2018-10-24,491,132,832
712,2019-02-19,343,478,119
713,2017-09-06,221,726,595
714,2019-08-27,929,187,196
715,2017-03-20,759,388,653
716,2019-06-29,981,486,60
717,2019-02-10,878,15,765
718,2018-11-15,54,88,249
719,2017-02-25,415,262,433
720,2019-08-28,399,474,82
721,2018-09-11,720,101,352
722,2018-01-01,605,317,443
723,2018-08-29,141,605,571
724,2017-06-13,652,437,194
725,2019-11-20,750,339,191
726,2018-12-11,655,615,546
727,2018-06-28,567,315,121
728,2017-01-06,549,816,413
729,2018-04-15,955,235,287
730,2017-07-06,157,931,969
731,2019-03-25,950,864,410
732,2018-12-31,941,128,348
733,2017-10-01,869,810,916
734,2017-01-17,761,346,863
735,2018-01-28,533,983,561
736,2018-05-05,523,679,426
737,2018-11-20,333,389,388
738,2018-11-30,378,45,587
739,2019-01-04,718,361,704
740,2017-04-14,699,703,912
741,2017-03-04,795,468,882
742,2018-11-28,320,463,850
743,2019-10-22,592,211,641
744,2017-03-08,228,465,715
745,2018-11-14,877,936,46
746,2017-06-06,518,536,711
747,2019-01-18,251,782,101
748,2017-12-16,884,398,980
749,2017-11-15,295,189,91
750,2018-04-06,903,236,499
751,2018-10-24,35,68,83
752,2019-01-24,224,515,131
753,2017-04-06,330,344,910
754,2017-12-27,793,221,749
755,2019-01-17,902,354,907
756,2017-07-18,437,441,548
757,2018-02-12,54,453,744
758,2019-03-15,354,986,401
759,2017-08-22,345,766,256
760,2019-07-13,832,321,542
761,2017-07-30,287,131,895
762,2018-01-22,434,895,90
763,2019-09-25,496,485,662
764,2017-02-24,162,762,620
765,2019-04-12,613,13,687
766,2017-05-21,858,834,70
767,2017-09-25,344,608,611
768,2017-11-06,931,567,779
769,2018-08-17,777,33,847
770,2018-11-13,523,934,698
771,2019-03-11,90,824,817
772,2019-12-30,315,542,883
773,2017-03-16,29,653,153
774,2017-01-30,757,761,185
775,2017-09-04,257,356,414
776,2017-08-26,687,275,181
777,2019-04-06,2,543,806
778,2018-09-02,520,671,426
779,2019-03-14,803,91,382
780,2018-12-02,488,201,691
781,2019-09-03,150,59,253
782,2018-07-03,608,774,573
783,2017-06-18,391,122,625
784,2019-03-20,429,145,974
785,2017-08-30,935,40,249
786,2017-04-05,732,504,651
787,2019-07-12,47,514,411
788,2019-09-02,352,659,526
789,2019-05-08,901,251,404
790,2019-02-06,257,956,697
791,2017-04-05,298,108,843
792,2019-04-27,722,755,70
793,2018-01-18,77,691,811
794,2018-01-18,43,996,549
795,2017-07-14,296,457,67
796,2017-05-05,373,277,290
797,2018-07-04,919,836,704
798,2019-10-10,791,656,317
799,2017-01-04,138,918,217
800,2018-04-03,125,473,362
801,2017-08-25,955,470,758
802,2017-06-17,46,440,730
803,2018-05-01,523,818,93
804,2019-03-10,365,793,442
805,2018-11-16,321,887,887
806,2017-09-11,326,825,311
807,2018-07-12,257,115,544
808,2018-05-30,295,408,984
809,2017-05-03,686,589,457
810,2018-02-03,446,976,16
811,2017-12-21,162,726,940
812,2019-03-03,593,777,585
813,2017-11-30,937,368,736
814,2018-09-26,259,576,571
815,2017-07-02,593,971,115
816,2019-03-31,893,944,388
817,2019-07-07,826,807,985
818,2019-06-14,33,871,397
819,2017-02-09,962,941,960
820,2019-06-12,446,622,906
821,2017-05-09,255,822,872
822,2017-09-16,728,486,764
823,2019-12-16,540,118,439
824,2019-05-29,66,773,632
825,2019-02-17,766,504,562
826,2018-10-08,250,58,291
827,2019-10-10,316,770,595
828,2018-01-06,218,872,686
829,2018-10-26,630,235,283
830,2017-01-16,933,958,173
831,2018-10-04,537,802,993
832,2017-01-12,834,286,971
833,2017-06-21,398,990,202
834,2019-05-07,523,14,876
835,2018-12-01,116,357,742
836,2017-10-01,883,443,421
837,2017-06-27,122,231,689
838,2017-05-20,853,380,461
839,2017-01-25,199,188,452
840,2018-10-16,528,383,92
841,2017-12-02,702,338,370
842,2019-12-07,689,945,63
843,2018-01-26,560,941,363
844,2019-05-21,275,299,823
845,2018-02-21,357,575,998
846,2019-04-16,680,934,233
847,2018-03-05,980,459,539
848,2017-08-26,274,758,706
849,2017-12-08,693,314,132
850,2019-10-06,375,635,540
851,2019-08-29,795,348,967
852,2018-09-20,834,115,893
853,2017-08-13,45,498,469
854,2017-10-27,20,195,412
855,2017-10-02,656,722,458
856,2017-06-02,558,715,924
857,2017-11-24,488,62,390
858,2017-09-25,657,405,843
859,2018-08-13,323,10,450
860,2017-03-20,715,956,312
861,2017-08-01,583,384,813
862,2019-07-15,189,63,655
863,2019-08-09,741,354,806
864,2017-03-01,345,692,780
865,2019-05-07,476,235,948
866,2017-02-24,866,692,699
867,2019-07-21,387,177,872
868,2018-12-22,436,811,617
869,2019-08-16,543,264,692
870,2019-02-23,35,163,260
871,2018-08-28,867,230,920
872,2019-07-08,486,14,60
873,2018-08-04,626,788,605
874,2017-07-26,313,402,742
875,2018-01-15,956,638,478
876,2018-04-09,439,287,88
877,2018-08-07,249,421,666
878,2018-05-08,975,643,660
879,2017-04-26,782,704,208
880,2019-05-24,328,834,388
881,2017-09-19,823,325,491
882,2017-07-23,178,83,279
883,2017-12-28,231,567,591
884,2019-11-09,55,256,165
885,2017-04-02,398,191,340
886,2018-07-27,343,883,325
887,2019-11-04,88,311,424
888,2018-05-13,367,500,193
889,2017-11-10,285,34,643
890,2018-03-07,305,915,537
891,2018-01-28,643,67,710
892,2018-04-06,790,694,571
893,2017-05-11,868,763,901
894,2017-08-12,832,556,9
895,2018-03-20,306,784,180
896,2017-01-08,713,366,155
897,2017-11-09,770,898,708
898,2018-05-29,950,489,285
899,2019-11-29,738,71,986
900,2019-03-11,955,822,43
901,2017-05-25,506,549,934
902,2018-08-27,974,68,738
903,2019-12-16,690,947,180
904,2017-11-09,293,479,680
905,2017-07-15,961,442,109
906,2017-01-27,509,69,548
907,2019-02-24,872,946,799
908,2019-02-07,416,734,244
909,2017-06-25,666,166,526
910,2017-12-01,675,597,620
911,2019-07-02,568,895,889
912,2019-09-22,829,190,305
913,2017-11-27,12,107,980
914,2019-08-02,232,725,510
915,2017-02-03,73,126,847
916,2018-12-18,562,59,346
917,2019-05-02,205,521,844
918,2019-07-29,504,412,761
919,2019-10-29,698,590,444
920,2019-06-06,293,813,809
921,2018-07-08,553,920,624
922,2017-11-15,265,192,352
923,2019-04-14,537,302,317
924,2019-05-17,530,170,242
925,2018-05-31,442,691,668
926,2018-08-14,479,290,252
927,2019-06-04,186,515,418
928,2017-05-13,749,499,307
